budgetRange,name,label,quarter,date,price(per.sqft)
Premium,thakurli,LOCALITY,"july-sept,2021",2021-09-30,7400.0
MID,Lodha Palava Downtown,PROJECT,"july-sept,2018",2018-09-30,6950.0
Premium,Dombivli East,LOCALITY,"jan-mar,2019",2019-03-31,6500.0
LUXURY,Regency Anantam,PROJECT,"jan-mar,2022",2022-03-31,7850.0
LUXURY,Lodha Casario,PROJECT,"jan-mar,2018",2018-03-31,6250.0
Premium,Dombivli East,LOCALITY,"apr-june,2017",2017-06-30,6100.0
LUXURY,Regency Anantam,PROJECT,"oct-dec,2020",2020-12-31,6850.0
LUXURY,Runwal My City,PROJECT,"oct-dec,2018",2018-12-31,7250.0
Premium,Dombivli East,LOCALITY,"apr-june,2007",2007-06-30,2000.0
MID,Lodha Casa Bella,PROJECT,"oct-dec,2020",2020-12-31,6900.0
Mid-Segment,Nilje Gaon,LOCALITY,"july-sept,2018",2018-09-30,6350.0
LUXURY,Lodha Casario,PROJECT,"apr-june,2012",2012-06-30,4200.0
MID,Lodha Casa Bella,PROJECT,"july-sept,2017",2017-09-30,6550.0
Premium,Dombivli East,LOCALITY,"jan-mar,2018",2018-03-31,6350.0
LUXURY,Lodha Casario,PROJECT,"oct-dec,2017",2017-12-31,5900.0
MID,Lodha Palava Downtown,PROJECT,"apr-june,2015",2015-06-30,5700.0
Premium,Dombivli East,LOCALITY,"apr-june,2015",2015-06-30,6100.0
MID,Lodha Palava Downtown,PROJECT,"apr-june,2016",2016-06-30,5550.0
Premium,Dombivli East,LOCALITY,"jan-mar,2011",2011-03-31,4150.0
Premium,Dombivli East,LOCALITY,"oct-dec,2018",2018-12-31,6650.0
LUXURY,Runwal My City,PROJECT,"oct-dec,2021",2021-12-31,7250.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2017",2017-12-31,6850.0
LUXURY,Lodha Casario,PROJECT,"july-sept,2014",2014-09-30,6350.0
MID,Lodha Casa Bella,PROJECT,"jan-mar,2014",2014-03-31,6350.0
LUXURY,Regency Anantam,PROJECT,"jan-mar,2021",2021-03-31,7500.0
Premium,Dombivli East,LOCALITY,"apr-june,2018",2018-06-30,6500.0
Mid-Segment,Nilje Gaon,LOCALITY,"oct-dec,2015",2015-12-31,6400.0
LUXURY,Lodha Casario,PROJECT,"jan-mar,2020",2020-03-31,6300.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"apr-june,2017",2017-06-30,6800.0
LUXURY,Regency Anantam,PROJECT,"apr-june,2021",2021-06-30,6550.0
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2021",2021-12-31,6950.0
MID,Lodha Palava Downtown,PROJECT,"apr-june,2021",2021-06-30,5800.0
Premium,Dombivli East,LOCALITY,"jan-mar,2013",2013-03-31,5700.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"jan-mar,2019",2019-03-31,7000.0
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2020",2020-03-31,6250.0
MID,Lodha Palava Downtown,PROJECT,"jan-mar,2021",2021-03-31,6700.0
MID,Lodha Casa Bella,PROJECT,"apr-june,2016",2016-06-30,6950.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2018",2018-09-30,6900.0
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2016",2016-12-31,6400.0
LUXURY,Runwal My City,PROJECT,"apr-june,2015",2015-06-30,5150.0
Mid-Segment,Nilje Gaon,LOCALITY,"oct-dec,2022",2022-12-31,6050.0
LUXURY,Lodha Casario,PROJECT,"jan-mar,2019",2019-03-31,6500.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2022",2022-09-30,6650.0
Premium,Dombivli East,LOCALITY,"oct-dec,2020",2020-12-31,6500.0
LUXURY,Lodha Casario,PROJECT,"jan-mar,2015",2015-03-31,7150.0
Mid-Segment,Nilje Gaon,LOCALITY,"july-sept,2016",2016-09-30,6150.0
MID,Lodha Palava Downtown,PROJECT,"jan-mar,2017",2017-03-31,6100.0
LUXURY,Lodha Casario,PROJECT,"jan-mar,2021",2021-03-31,6750.0
Premium,Dombivli East,LOCALITY,"apr-june,2014",2014-06-30,5000.0
MID,Lodha Casa Bella,PROJECT,"oct-dec,2021",2021-12-31,6250.0
LUXURY,Lodha Casario,PROJECT,"apr-june,2017",2017-06-30,5800.0
Premium,Dombivli East,LOCALITY,"apr-june,2013",2013-06-30,5600.0
MID,Lodha Casa Bella,PROJECT,"apr-june,2017",2017-06-30,6550.0
LUXURY,Lodha Casario,PROJECT,"oct-dec,2022",2022-12-31,6700.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"apr-june,2022",2022-06-30,7500.0
MID,Lodha Casa Bella,PROJECT,"oct-dec,2016",2016-12-31,6650.0
MID,Lodha Casa Bella,PROJECT,"jan-mar,2020",2020-03-31,6300.0
Premium,Dombivli East,LOCALITY,"oct-dec,2011",2011-12-31,4300.0
MID,Lodha Casa Bella,PROJECT,"oct-dec,2013",2013-12-31,6000.0
Premium,Dombivli East,LOCALITY,"oct-dec,2012",2012-12-31,5700.0
Premium,Dombivli East,LOCALITY,"july-sept,2010",2010-09-30,3000.0
Premium,Dombivli East,LOCALITY,"july-sept,2008",2008-09-30,2800.0
Premium,Dombivli East,LOCALITY,"jan-mar,2012",2012-03-31,4400.0
MID,Lodha Casa Bella,PROJECT,"apr-june,2020",2020-06-30,6250.0
Premium,Dombivli East,LOCALITY,"jan-mar,2017",2017-03-31,6200.0
LUXURY,Lodha Casario,PROJECT,"jan-mar,2013",2013-03-31,6300.0
MID,Lodha Casa Bella,PROJECT,"apr-june,2013",2013-06-30,5800.0
LUXURY,Runwal My City,PROJECT,"jan-mar,2022",2022-03-31,7600.0
LUXURY,Lodha Casario,PROJECT,"apr-june,2013",2013-06-30,5500.0
Premium,Dombivli East,LOCALITY,"july-sept,2013",2013-09-30,5550.0
LUXURY,Regency Anantam,PROJECT,"apr-june,2019",2019-06-30,7100.0
LUXURY,Lodha Casario,PROJECT,"july-sept,2019",2019-09-30,6450.0
LUXURY,Runwal My City,PROJECT,"july-sept,2014",2014-09-30,4450.0
LUXURY,Regency Anantam,PROJECT,"jan-mar,2019",2019-03-31,7050.0
Premium,Dombivli East,LOCALITY,"july-sept,2016",2016-09-30,6250.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"jan-mar,2016",2016-03-31,7800.0
LUXURY,Regency Anantam,PROJECT,"july-sept,2019",2019-09-30,7100.0
LUXURY,Lodha Casario,PROJECT,"jan-mar,2016",2016-03-31,6600.0
LUXURY,Regency Anantam,PROJECT,"oct-dec,2019",2019-12-31,6950.0
LUXURY,Lodha Palava City,PROJECT,"july-sept,2016",2016-09-30,6450.0
LUXURY,Lodha Casario,PROJECT,"july-sept,2018",2018-09-30,6400.0
LUXURY,Runwal My City,PROJECT,"oct-dec,2014",2014-12-31,4600.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2019",2019-09-30,6850.0
Premium,Dombivli East,LOCALITY,"oct-dec,2007",2007-12-31,2500.0
LUXURY,Runwal My City,PROJECT,"jan-mar,2018",2018-03-31,5500.0
MID,Lodha Casa Bella,PROJECT,"oct-dec,2019",2019-12-31,6250.0
Mid-Segment,Nilje Gaon,LOCALITY,"jan-mar,2016",2016-03-31,6400.0
Premium,Dombivli East,LOCALITY,"july-sept,2017",2017-09-30,6200.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"jan-mar,2018",2018-03-31,7050.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"jan-mar,2021",2021-03-31,6850.0
LUXURY,Lodha Casario,PROJECT,"july-sept,2016",2016-09-30,6500.0
LUXURY,Lodha Casario,PROJECT,"jan-mar,2014",2014-03-31,6500.0
LUXURY,Lodha Casario,PROJECT,"apr-june,2016",2016-06-30,6700.0
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2018",2018-03-31,6350.0
MID,Lodha Casa Bella,PROJECT,"jan-mar,2019",2019-03-31,6150.0
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2015",2015-12-31,5850.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"apr-june,2019",2019-06-30,6950.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2021",2021-12-31,6700.0
LUXURY,Runwal My City,PROJECT,"oct-dec,2020",2020-12-31,7250.0
Premium,Dombivli East,LOCALITY,"oct-dec,2015",2015-12-31,6100.0
Mid-Segment,Nilje Gaon,LOCALITY,"apr-june,2019",2019-06-30,6400.0
Premium,Dombivli East,LOCALITY,"oct-dec,2009",2009-12-31,2650.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2020",2020-09-30,7000.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2021",2021-09-30,6700.0
LUXURY,Lodha Casario,PROJECT,"apr-june,2021",2021-06-30,6400.0
LUXURY,Runwal My City,PROJECT,"jan-mar,2019",2019-03-31,6450.0
Premium,Dombivli East,LOCALITY,"oct-dec,2010",2010-12-31,3700.0
LUXURY,Runwal My City,PROJECT,"oct-dec,2015",2015-12-31,5300.0
Premium,Dombivli East,LOCALITY,"jan-mar,2015",2015-03-31,5750.0
MID,Lodha Casa Bella,PROJECT,"oct-dec,2018",2018-12-31,6300.0
MID,Lodha Palava Downtown,PROJECT,"jan-mar,2022",2022-03-31,5550.0
MID,Lodha Palava Downtown,PROJECT,"oct-dec,2020",2020-12-31,6900.0
LUXURY,Lodha Casario,PROJECT,"july-sept,2022",2022-09-30,6750.0
MID,Lodha Palava Downtown,PROJECT,"apr-june,2022",2022-06-30,5900.0
MID,Lodha Casa Bella,PROJECT,"apr-june,2018",2018-06-30,6350.0
Premium,Dombivli East,LOCALITY,"july-sept,2015",2015-09-30,6400.0
LUXURY,Runwal My City,PROJECT,"jan-mar,2020",2020-03-31,7000.0
LUXURY,Regency Anantam,PROJECT,"july-sept,2020",2020-09-30,6450.0
LUXURY,Lodha Palava City,PROJECT,"apr-june,2017",2017-06-30,6300.0
LUXURY,Lodha Palava City,PROJECT,"apr-june,2021",2021-06-30,6850.0
MID,Lodha Palava Downtown,PROJECT,"jan-mar,2019",2019-03-31,6900.0
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2019",2019-03-31,6500.0
MID,Lodha Casa Bella,PROJECT,"july-sept,2015",2015-09-30,7600.0
Premium,Dombivli East,LOCALITY,"apr-june,2012",2012-06-30,4600.0
Mid-Segment,Nilje Gaon,LOCALITY,"oct-dec,2021",2021-12-31,5950.0
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2020",2020-12-31,6900.0
Premium,Dombivli East,LOCALITY,"jan-mar,2020",2020-03-31,6450.0
LUXURY,Lodha Casario,PROJECT,"oct-dec,2015",2015-12-31,6400.0
MID,Lodha Palava Downtown,PROJECT,"apr-june,2019",2019-06-30,6500.0
LUXURY,Lodha Palava City,PROJECT,"apr-june,2022",2022-06-30,7050.0
LUXURY,Runwal My City,PROJECT,"july-sept,2018",2018-09-30,6850.0
LUXURY,Lodha Palava City,PROJECT,"apr-june,2014",2014-06-30,5000.0
LUXURY,Regency Anantam,PROJECT,"apr-june,2020",2020-06-30,6050.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2020",2020-12-31,6650.0
LUXURY,Lodha Palava City,PROJECT,"july-sept,2015",2015-09-30,6700.0
Premium,Dombivli East,LOCALITY,"jan-mar,2021",2021-03-31,6800.0
Premium,Dombivli East,LOCALITY,"oct-dec,2019",2019-12-31,6450.0
LUXURY,Lodha Casario,PROJECT,"apr-june,2014",2014-06-30,6650.0
Premium,Dombivli East,LOCALITY,"oct-dec,2016",2016-12-31,6300.0
Premium,Dombivli East,LOCALITY,"july-sept,2019",2019-09-30,6450.0
LUXURY,Runwal My City,PROJECT,"jan-mar,2017",2017-03-31,4950.0
MID,Lodha Casa Bella,PROJECT,"july-sept,2016",2016-09-30,6550.0
Premium,Dombivli East,LOCALITY,"apr-june,2008",2008-06-30,2750.0
Mid-Segment,Nilje Gaon,LOCALITY,"jan-mar,2019",2019-03-31,6400.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2015",2015-12-31,7400.0
MID,Lodha Palava Downtown,PROJECT,"july-sept,2022",2022-09-30,6450.0
MID,Lodha Casa Bella,PROJECT,"apr-june,2021",2021-06-30,6300.0
MID,Lodha Casa Bella,PROJECT,"jan-mar,2022",2022-03-31,6200.0
LUXURY,Lodha Casario,PROJECT,"jan-mar,2017",2017-03-31,6150.0
MID,Lodha Casa Bella,PROJECT,"apr-june,2022",2022-06-30,6550.0
MID,Lodha Casa Bella,PROJECT,"july-sept,2021",2021-09-30,6700.0
MID,Lodha Casa Bella,PROJECT,"jan-mar,2021",2021-03-31,6050.0
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2014",2014-12-31,5650.0
LUXURY,Lodha Casario,PROJECT,"oct-dec,2018",2018-12-31,6500.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2022",2022-12-31,6700.0
MID,Lodha Palava Downtown,PROJECT,"oct-dec,2021",2021-12-31,6450.0
LUXURY,Lodha Palava City,PROJECT,"apr-june,2019",2019-06-30,6500.0
LUXURY,Runwal My City,PROJECT,"july-sept,2020",2020-09-30,7400.0
Mid-Segment,Nilje Gaon,LOCALITY,"jan-mar,2018",2018-03-31,6250.0
Mid-Segment,Nilje Gaon,LOCALITY,"apr-june,2020",2020-06-30,6350.0
Mid-Segment,Nilje Gaon,LOCALITY,"july-sept,2022",2022-09-30,6000.0
,,,,,
Premium,Dombivli East,LOCALITY,"jan-mar,2010",2010-03-31,3150.0
MID,Lodha Casa Bella,PROJECT,"july-sept,2013",2013-09-30,6000.0
MID,Lodha Palava Downtown,PROJECT,"jan-mar,2016",2016-03-31,5800.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"apr-june,2016",2016-06-30,7500.0
LUXURY,Lodha Casario,PROJECT,"july-sept,2020",2020-09-30,6350.0
LUXURY,Lodha Casario,PROJECT,"july-sept,2015",2015-09-30,6250.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2014",2014-12-31,6950.0
MID,Lodha Palava Downtown,PROJECT,"jan-mar,2020",2020-03-31,5700.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2018",2018-12-31,7100.0
Premium,Dombivli East,LOCALITY,"oct-dec,2022",2022-12-31,7200.0
LUXURY,Runwal My City,PROJECT,"oct-dec,2017",2017-12-31,5650.0
LUXURY,Runwal My City,PROJECT,"jan-mar,2016",2016-03-31,5300.0
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2021",2021-03-31,6800.0
LUXURY,Lodha Casario,PROJECT,"oct-dec,2021",2021-12-31,6550.0
LUXURY,Lodha Casario,PROJECT,"oct-dec,2016",2016-12-31,6250.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"apr-june,2021",2021-06-30,6800.0
Mid-Segment,Nilje Gaon,LOCALITY,"apr-june,2018",2018-06-30,6300.0
LUXURY,Lodha Casario,PROJECT,"oct-dec,2014",2014-12-31,6750.0
LUXURY,Regency Anantam,PROJECT,"oct-dec,2018",2018-12-31,7050.0
Mid-Segment,Nilje Gaon,LOCALITY,"oct-dec,2020",2020-12-31,6450.0
Mid-Segment,Nilje Gaon,LOCALITY,"apr-june,2022",2022-06-30,6400.0
Premium,Dombivli East,LOCALITY,"apr-june,2010",2010-06-30,3400.0
Premium,Dombivli East,LOCALITY,"jan-mar,2022",2022-03-31,6600.0
Premium,Dombivli East,LOCALITY,"jan-mar,2016",2016-03-31,6250.0
MID,Lodha Palava Downtown,PROJECT,"oct-dec,2018",2018-12-31,7050.0
Mid-Segment,Nilje Gaon,LOCALITY,"oct-dec,2017",2017-12-31,6000.0
LUXURY,Lodha Palava City,PROJECT,"july-sept,2017",2017-09-30,6350.0
LUXURY,Lodha Casario,PROJECT,"apr-june,2022",2022-06-30,6200.0
Premium,Dombivli East,LOCALITY,"july-sept,2018",2018-09-30,6550.0
Mid-Segment,Nilje Gaon,LOCALITY,"july-sept,2019",2019-09-30,6300.0
LUXURY,Runwal My City,PROJECT,"oct-dec,2022",2022-12-31,7700.0
MID,Lodha Casa Bella,PROJECT,"july-sept,2019",2019-09-30,6250.0
Premium,Dombivli East,LOCALITY,"july-sept,2014",2014-09-30,5400.0
Mid-Segment,Nilje Gaon,LOCALITY,"jan-mar,2021",2021-03-31,6300.0
Premium,Dombivli East,LOCALITY,"july-sept,2011",2011-09-30,4150.0
Premium,Dombivli East,LOCALITY,"jan-mar,2008",2008-03-31,2600.0
LUXURY,Lodha Palava City,PROJECT,"july-sept,2019",2019-09-30,6350.0
Premium,Dombivli East,LOCALITY,"apr-june,2020",2020-06-30,6550.0
Premium,Dombivli East,LOCALITY,"apr-june,2011",2011-06-30,4250.0
LUXURY,Runwal My City,PROJECT,"jan-mar,2021",2021-03-31,7150.0
Mid-Segment,Nilje Gaon,LOCALITY,"jan-mar,2022",2022-03-31,5700.0
Premium,Dombivli East,LOCALITY,"oct-dec,2008",2008-12-31,2800.0
Mid-Segment,Nilje Gaon,LOCALITY,"jan-mar,2020",2020-03-31,6050.0
LUXURY,Runwal My City,PROJECT,"july-sept,2021",2021-09-30,7400.0
LUXURY,Runwal My City,PROJECT,"apr-june,2016",2016-06-30,5200.0
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2016",2016-03-31,6400.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2017",2017-09-30,6850.0
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2018",2018-12-31,6650.0
LUXURY,Lodha Casario,PROJECT,"oct-dec,2019",2019-12-31,6450.0
Premium,Dombivli East,LOCALITY,"july-sept,2021",2021-09-30,6500.0
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2015",2015-03-31,5800.0
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2017",2017-12-31,6300.0
Premium,Dombivli East,LOCALITY,"july-sept,2020",2020-09-30,6600.0
Premium,Dombivli East,LOCALITY,"jan-mar,2007",2007-03-31,2800.0
MID,Lodha Casa Bella,PROJECT,"jan-mar,2017",2017-03-31,6650.0
MID,Lodha Palava Downtown,PROJECT,"july-sept,2019",2019-09-30,6600.0
MID,Lodha Casa Bella,PROJECT,"july-sept,2022",2022-09-30,5800.0
Premium,Dombivli East,LOCALITY,"apr-june,2016",2016-06-30,6300.0
LUXURY,Runwal My City,PROJECT,"apr-june,2019",2019-06-30,7300.0
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2017",2017-03-31,6250.0
Premium,Dombivli East,LOCALITY,"july-sept,2012",2012-09-30,5250.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2016",2016-12-31,7050.0
LUXURY,Lodha Casario,PROJECT,"july-sept,2021",2021-09-30,6000.0
LUXURY,Lodha Palava City,PROJECT,"apr-june,2016",2016-06-30,6400.0
Mid-Segment,Nilje Gaon,LOCALITY,"oct-dec,2019",2019-12-31,6150.0
MID,Lodha Casa Bella,PROJECT,"july-sept,2020",2020-09-30,6800.0
MID,Lodha Casa Bella,PROJECT,"apr-june,2019",2019-06-30,6250.0
Premium,Dombivli East,LOCALITY,"oct-dec,2017",2017-12-31,6200.0
MID,Lodha Palava Downtown,PROJECT,"oct-dec,2022",2022-12-31,6050.0
MID,Lodha Palava Downtown,PROJECT,"jan-mar,2015",2015-03-31,5650.0
LUXURY,Regency Anantam,PROJECT,"july-sept,2022",2022-09-30,8100.0
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2014",2014-03-31,4850.0
MID,Lodha Casa Bella,PROJECT,"apr-june,2014",2014-06-30,6500.0
Premium,Dombivli East,LOCALITY,"oct-dec,2013",2013-12-31,5100.0
MID,Lodha Palava Downtown,PROJECT,"july-sept,2018",2018-09-30,6950.0
LUXURY,Lodha Palava City,PROJECT,"july-sept,2018",2018-09-30,6550.0
Premium,Dombivli East,LOCALITY,"july-sept,2022",2022-09-30,6500.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"jan-mar,2020",2020-03-31,6650.0
MID,Lodha Palava Downtown,PROJECT,"july-sept,2015",2015-09-30,5850.0
MID,Lodha Palava Downtown,PROJECT,"oct-dec,2019",2019-12-31,6300.0
LUXURY,Runwal My City,PROJECT,"july-sept,2015",2015-09-30,5400.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2015",2015-09-30,7750.0
LUXURY,Runwal My City,PROJECT,"apr-june,2022",2022-06-30,8050.0
MID,Lodha Casa Bella,PROJECT,"jan-mar,2013",2013-03-31,6050.0
LUXURY,Runwal My City,PROJECT,"july-sept,2016",2016-09-30,5300.0
Premium,Dombivli East,LOCALITY,"jan-mar,2009",2009-03-31,2700.0
LUXURY,Regency Anantam,PROJECT,"july-sept,2021",2021-09-30,7300.0
LUXURY,Runwal My City,PROJECT,"apr-june,2021",2021-06-30,7250.0
Mid-Segment,Nilje Gaon,LOCALITY,"july-sept,2020",2020-09-30,6250.0
LUXURY,Lodha Casario,PROJECT,"oct-dec,2012",2012-12-31,5300.0
MID,Lodha Casa Bella,PROJECT,"july-sept,2014",2014-09-30,6300.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2016",2016-09-30,7200.0
Premium,Dombivli East,LOCALITY,"jan-mar,2014",2014-03-31,5550.0
LUXURY,Regency Anantam,PROJECT,"apr-june,2022",2022-06-30,8100.0
LUXURY,Lodha Palava City,PROJECT,"apr-june,2020",2020-06-30,7150.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2014",2014-09-30,6900.0
MID,Lodha Palava Downtown,PROJECT,"oct-dec,2015",2015-12-31,5550.0
Premium,Dombivli East,LOCALITY,"oct-dec,2021",2021-12-31,6550.0
Mid-Segment,Nilje Gaon,LOCALITY,"oct-dec,2016",2016-12-31,6250.0
MID,Lodha Casa Bella,PROJECT,"oct-dec,2015",2015-12-31,7100.0
MID,Lodha Casa Bella,PROJECT,"oct-dec,2022",2022-12-31,6500.0
LUXURY,Lodha Casario,PROJECT,"apr-june,2019",2019-06-30,6500.0
LUXURY,Lodha Palava City,PROJECT,"july-sept,2020",2020-09-30,7550.0
Mid-Segment,Nilje Gaon,LOCALITY,"july-sept,2017",2017-09-30,5950.0
Mid-Segment,Nilje Gaon,LOCALITY,"july-sept,2021",2021-09-30,6200.0
Mid-Segment,Nilje Gaon,LOCALITY,"apr-june,2021",2021-06-30,6250.0
Premium,Dombivli East,LOCALITY,"apr-june,2021",2021-06-30,6600.0
LUXURY,Runwal My City,PROJECT,"apr-june,2018",2018-06-30,6150.0
LUXURY,Runwal My City,PROJECT,"july-sept,2022",2022-09-30,7450.0
Premium,Dombivli East,LOCALITY,"apr-june,2019",2019-06-30,6500.0
LUXURY,Lodha Casario,PROJECT,"july-sept,2013",2013-09-30,5900.0
LUXURY,Lodha Casario,PROJECT,"july-sept,2017",2017-09-30,5900.0
MID,Lodha Casa Bella,PROJECT,"apr-june,2015",2015-06-30,7750.0
MID,Lodha Casa Bella,PROJECT,"jan-mar,2015",2015-03-31,7100.0
MID,Lodha Casa Bella,PROJECT,"oct-dec,2017",2017-12-31,6450.0
LUXURY,Lodha Casario,PROJECT,"apr-june,2020",2020-06-30,6300.0
MID,Lodha Palava Downtown,PROJECT,"july-sept,2021",2021-09-30,6050.0
Premium,Dombivli East,LOCALITY,"apr-june,2022",2022-06-30,6900.0
LUXURY,Regency Anantam,PROJECT,"oct-dec,2022",2022-12-31,8200.0
LUXURY,Runwal My City,PROJECT,"jan-mar,2015",2015-03-31,4600.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"jan-mar,2015",2015-03-31,7700.0
Mid-Segment,Nilje Gaon,LOCALITY,"oct-dec,2018",2018-12-31,6450.0
LUXURY,Lodha Palava City,PROJECT,"july-sept,2022",2022-09-30,6350.0
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2022",2022-12-31,6650.0
MID,Lodha Casa Bella,PROJECT,"jan-mar,2018",2018-03-31,6350.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"jan-mar,2022",2022-03-31,6650.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"jan-mar,2017",2017-03-31,7050.0
MID,Lodha Casa Bella,PROJECT,"oct-dec,2014",2014-12-31,7000.0
Premium,Dombivli East,LOCALITY,"oct-dec,2014",2014-12-31,5600.0
MID,Lodha Casa Bella,PROJECT,"july-sept,2018",2018-09-30,6300.0
Mid-Segment,Nilje Gaon,LOCALITY,"apr-june,2017",2017-06-30,5750.0
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2019",2019-12-31,6300.0
MID,Lodha Palava Downtown,PROJECT,"july-sept,2017",2017-09-30,6450.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2019",2019-12-31,6850.0
LUXURY,Runwal My City,PROJECT,"july-sept,2017",2017-09-30,6000.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"apr-june,2018",2018-06-30,7050.0
LUXURY,Runwal My City,PROJECT,"july-sept,2019",2019-09-30,7400.0
Mid-Segment,Nilje Gaon,LOCALITY,"apr-june,2016",2016-06-30,6400.0
Premium,Dombivli East,LOCALITY,"apr-june,2009",2009-06-30,2650.0
Premium,Dombivli East,LOCALITY,"july-sept,2009",2009-09-30,2800.0
LUXURY,Regency Anantam,PROJECT,"jan-mar,2020",2020-03-31,6000.0
LUXURY,Runwal My City,PROJECT,"oct-dec,2016",2016-12-31,5200.0
LUXURY,Lodha Palava City,PROJECT,"july-sept,2021",2021-09-30,7200.0
LUXURY,Lodha Casario,PROJECT,"oct-dec,2020",2020-12-31,6950.0
LUXURY,Lodha Palava City,PROJECT,"july-sept,2014",2014-09-30,5400.0
LUXURY,Lodha Casario,PROJECT,"apr-june,2018",2018-06-30,6100.0
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2022",2022-03-31,6800.0
MID,Lodha Casa Bella,PROJECT,"jan-mar,2016",2016-03-31,7100.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"apr-june,2015",2015-06-30,7950.0
Premium,Dombivli East,LOCALITY,"july-sept,2007",2007-09-30,1750.0
LUXURY,Runwal My City,PROJECT,"oct-dec,2019",2019-12-31,7150.0
Mid-Segment,Nilje Gaon,LOCALITY,"jan-mar,2017",2017-03-31,6000.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"apr-june,2020",2020-06-30,7500.0
LUXURY,Lodha Palava City,PROJECT,"apr-june,2018",2018-06-30,6450.0
MID,Lodha Palava Downtown,PROJECT,"apr-june,2020",2020-06-30,5400.0
LUXURY,Runwal My City,PROJECT,"apr-june,2020",2020-06-30,6900.0
LUXURY,Lodha Casario,PROJECT,"apr-june,2015",2015-06-30,7200.0
Premium,Dombivli East,LOCALITY,"jan-mar,2008",2008-03-31,2600.0
MID,Lodha Casa Rio Gold,PROJECT,"july-sept,2020",2020-09-30,6600.0
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2020",2020-12-31,6650.0
MID,Lodha Casa Rio Gold,PROJECT,"jan-mar,2014",2014-03-31,6100.0
Premium,thakurli,LOCALITY,"apr-june,2017",2017-06-30,6400.0
LUXURY,Runwal My City,PROJECT,"july-sept,2014",2014-09-30,4450.0
Mid-Segment,Nilje Gaon,LOCALITY,"oct-dec,2018",2018-12-31,6450.0
LUXURY,Lodha Golflinks,PROJECT,"apr-june,2020",2020-06-30,8150.0
LUXURY,Lodha Palava City,PROJECT,"oct-dec,2017",2017-12-31,6300.0
LUXURY,Runwal My City,PROJECT,"apr-june,2022",2022-06-30,8050.0
LUXURY,Lodha Palava City,PROJECT,"apr-june,2016",2016-06-30,6400.0
LUXURY,Lodha Golflinks,PROJECT,"jan-mar,2019",2019-03-31,9100.0
MID,Lodha Palava Downtown,PROJECT,"apr-june,2021",2021-06-30,5800.0
